Title,rating,reviewCount,website,phoneNumber,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday,latitude,longitude
Metal Machine Tattoo Studio,4.7,161,https://www.mmtattoo.com/,+27 21 423 0688,49 Shortmarket St - Central - Cape Town - 8001 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,10a.m. - 5p.m.,10a.m. - 3p.m.,Closed,-33.921687500000004,18.41906250000001
Hoodoo Tattoos,4.7,87,https://www.facebook.com/HoodooTattoos/,+27 21 486 9003,186 Lower Main Rd - Observatory - Cape Town - 7441 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed,-33.93206250000001,18.466312499999972
Cape Town Tattoos. Mr Lucky'S,4.9,86,http://www.capetowntattoo.com/,+27 84 588 6005,Fairweather house - 31 Francis Street - Zonnebloem The Basement - Zonnebloem - Cape Town - 7915 - South Africa,Closed,12 - 5:30p.m.,12 - 5:30p.m.,12 - 5:30p.m.,12 - 5:30p.m.,12 - 5:30p.m.,12 - 5:30p.m.,-33.928312500000004,18.43793749999999
Cape Electric Tattoo,4.8,126,capeelectrictattoo.com,+27 21 423 7646,11 Buitensingel St - Gardens - Cape Town - 8001 - South Africa,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,Closed,-33.926812500000004,18.41306249999998
Tomb Tattoo,4.9,116,tombtattoo.co.za,+27 21 461 5218,Unit 16 gardens business village Wandel street - Gardens - Cape Town - 8001 - South Africa,Closed,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,Closed,-33.93118750000001,18.417687500000014
Betrue Ink Tattoo'S And Body Piercing Studio,4.7,55,,+27 83 364 6483,african mall - 98 Long St - Cape Town City Centre - Cape Town - 8001 - South Africa,9:30a.m. - 7p.m.,9:30a.m. - 7p.m.,9:30a.m. - 7p.m.,9:30a.m. - 7p.m.,9:30a.m. - 7p.m.,9:30a.m. - 7p.m.,10a.m. - 4p.m.,-33.92268750000001,18.418812500000016
More Than Hype - Tattoo Art Collective,4.8,106,,+27 72 606 1499,Model Villa Oranjezicht - 4 Hiddingh Ave - Gardens - Cape Town - 8001 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 6p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,-33.93418750000001,18.41668749999998
Sleight Of Hand Tattoos,4.8,93,sleightofhandtattoos.wixsite.com,,48 Albert Rd - Woodstock - Cape Town - 7915 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,-33.926437500000006,18.445437499999983
Keepsake Tattoo Cape Town,4.5,37,,,Stoked Building - 175 Main Rd - Muizenberg - Cape Town - 7806 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,12a.m. - 4p.m.,Closed,-34.1090625,18.46793749999999
Queen Of Steel,4.7,268,queenofsteel.co.za,+27 21 712 5088,Shop G64 Blue Route Mall - Tokai - Cape Town - 7945 - South Africa,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 5p.m.,-34.06368750000001,18.453062499999973
The Body Architects,4.8,378,thebodyarchitects.com,+27 82 226 4065,166 2nd Ave - Kenilworth - Cape Town - 7708 - South Africa,Closed,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,11a.m. - 5p.m.,Closed,-33.9944375,18.473687499999997
Wildfire Tattoo And Body Piercing Studio,4.5,197,wildfireza.com,+27 21 422 0524,206 Long St - Cape Town City Centre - Cape Town - 8000 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 5p.m.,Closed,-33.9256875,18.41556249999998
Kings And Queens Ink Lounge,4.6,146,,+27 79 399 0926,5 Kiepersol St - Kuils River - Cape Town - 7580 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 3p.m.,Closed,-33.92306250000001,18.695812500000002
Good Things Tattoo,4.9,189,goodthingstattoo.com,+27 60 603 3586,304 Albert Rd - Woodstock - Cape Town - 7925 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed,-33.9275625,18.455812499999993
Kak Lucky Tattoos,4.8,200,kakluckytattoos.com,+27 21 422 2963,43 Kloof St - Gardens - Cape Town - 8001 - South Africa,Closed,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,Closed,-33.9284375,18.412437499999996
Dark Horse Society,4.9,100,darkhorse.co.za,,91 1st Ave - Claremont - Cape Town - 7708 - South Africa,Closed,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,Closed,-33.98918750000001,18.472437499999998
Arcane Tattoo & Piercing,4.1,53,https://www.facebook.com/Arcanetattoo,+27 21 447 1967,98 Lower Main Rd - Observatory - Cape Town - 7935 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 3p.m.,Closed,-33.93831250000001,18.468937499999996
Skullbox & Tattoo Company,4.8,135,skullboxtattoocompany.com,+27 72 403 3071,Shop 2 - The Emporium - Sandown Rd - Parklands - Cape Town - 7441 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed,-33.801437500000006,18.49368749999998
Descriptive Art Collective,4.9,110,,,15 Oxbow Cres - Century City - Cape Town - 7446 - South Africa,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,Closed,Closed,-33.885687499999996,18.52081250000002
Marius Bosman'S Tattoo Studio,4.7,15,https://m.facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2Fmariusbosmantattoos&refsrc=deprecated&_rdr,+27 78 607 5775,580 Frans Conradie Dr - Brackenfell - Cape Town - 7139 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed,-33.8783125,18.679312499999995
Devon Slaves Tattoos,4.8,32,,+27 83 229 0376,30 Tennant Cres - N.T. - Cape Town - 7493 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.,-33.942687500000005,18.65793749999999
Primal Culture Tattoo Studio,4.6,45,primalculture.co.za,+27 21 707 1299,unit 3 - Clarewood - 1 Annandale Rd - Diep River - Cape Town - 7800 - South Africa,Closed,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 2p.m.,Closed,-34.0298125,18.46606249999998
Mantra Tattoos,4.1,21,https://m.facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2Fsamantratattoos%2F&refsrc=deprecated&_rdr,+27 82 528 0566,142 Buitengracht St - Cape Town City Centre - Cape Town - 8000 - South Africa,,,,,,,,-33.9221875,18.415312499999985
Skintrade Tattoos,4.7,103,https://www.skintrade.co.za/,+27 76 025 2410,Shop 5 - Northpoint Centre - Porterfield Rd - Table View - Cape Town - 7441 - South Africa,10a.m. - 3p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed,-33.8205625,18.477687499999988
The Ink Lane Tattoos,5.0,25,https://www.facebook.com/inktattoosza/,+27 81 584 1336,Burgundy Estate - Cape Town - 7441 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,-33.8394375,18.5493125
